model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
V2 batch-enabled Huber,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.681477427482605,0.475052148103714,0.34004298156280494,0.681477427482605,0.6228711790393013
V2 batch-enabled Huber,val_strain_only,Tunicamycin,24,87789,0.699545681476593,0.4889507293701172,0.259938983280763,0.699545681476593,0.5893335155885133
V2 batch-enabled Huber,val_strain_only,U-73122,24,91663,0.6850641369819641,0.4793494641780853,0.2970481619454515,0.6850641369819641,0.6066569935524694
V2 batch-enabled Huber,val_strain_only,Valinomycin,24,87445,0.6944401264190674,0.4852270185947418,0.2513949561593871,0.6944401264190674,0.5859911944650923
V2 batch-enabled Huber,val_strain_only,Wortmannin,24,90466,0.7524445056915283,0.5302254557609558,0.25336009274282484,0.7524445056915283,0.5835230915482059
S1 B anchor Morgan Huber,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",24,87632,0.6744261384010315,0.47013694047927856,0.254794076230888,0.6744261384010315,0.588244020449151
S1 B anchor Morgan Huber,val_strain_only,1-10 Phenanthroline monohydrate,48,174947,0.6676748394966125,0.4674506187438965,0.26212831717200596,0.6676748394966125,0.5898586429032793
S1 B anchor Morgan Huber,val_strain_only,4-Hydroxytamoxifen,24,87104,0.689155638217926,0.48292532563209534,0.31139452881000784,0.689155638217926,0.6055634643644379
S1 B anchor Morgan Huber,val_strain_only,Amiodarone hydrochloride,23,73670,0.7869358062744141,0.5587959289550781,0.2134330085548232,0.7869358062744141,0.5593050088231302
S1 B anchor Morgan Huber,val_strain_only,Anisomycin,48,183200,0.6598926186561584,0.46270307898521423,0.32432282819354463,0.6598926186561584,0.6100600436681223
S1 B anchor Morgan Huber,val_strain_only,Artemisinin,24,87987,0.6814480423927307,0.4774274528026581,0.1987620205763951,0.6814480423927307,0.5646515962585382
S1 B anchor Morgan Huber,val_strain_only,Brefeldin A,48,179607,0.665923535823822,0.4661458432674408,0.2886118397804164,0.665923535823822,0.6002772720439626
S1 B anchor Morgan Huber,val_strain_only,CHX,51,179518,0.7526573538780212,0.5234470367431641,0.2716254777656984,0.7526573538780212,0.5959680923361446
S1 B anchor Morgan Huber,val_strain_only,Cisplatin,72,256795,0.7637754082679749,0.534591555595398,0.2260782033353283,0.7637754082679749,0.5785743491890418
S1 B anchor Morgan Huber,val_strain_only,Clomiphene citrate,24,87849,0.6611372232437134,0.46348920464515686,0.28003665410977946,0.6611372232437134,0.5921979760725791
S1 B anchor Morgan Huber,val_strain_only,Clotrimazole,24,91638,0.6569902300834656,0.45855286717414856,0.344324672858319,0.6569902300834656,0.6162727252886357
S1 B anchor Morgan Huber,val_strain_only,Cyclopiazonic acid,24,73547,0.7940574884414673,0.5635890364646912,0.25130235069354456,0.7940574884414673,0.5845105850680518
S1 B anchor Morgan Huber,val_strain_only,Desipramine hydrochloride,23,87358,0.6552385687828064,0.4573156535625458,0.3624310581198955,0.6552385687828064,0.6285400306783581
S1 B anchor Morgan Huber,val_strain_only,Dyclonine hydrochloride,13,49963,0.647200882434845,0.44832858443260193,0.3166459669940104,0.647200882434845,0.6104117046614495
S1 B anchor Morgan Huber,val_strain_only,EDTA,144,518606,0.7646834254264832,0.5347698330879211,0.24209452378068136,0.7646834254264832,0.5795285823920279
S1 B anchor Morgan Huber,val_strain_only,Emodin,24,86728,0.6635330319404602,0.4635145664215088,0.31103145957853007,0.6635330319404602,0.6079466838852504
S1 B anchor Morgan Huber,val_strain_only,Geldanamycin,24,87891,0.6677936315536499,0.46628519892692566,0.2690046352116179,0.6677936315536499,0.5935078676997645
S1 B anchor Morgan Huber,val_strain_only,Haloperidol,24,91401,0.6557605862617493,0.4580865800380707,0.3401959617425343,0.6557605862617493,0.6200916838984256
S1 B anchor Morgan Huber,val_strain_only,Harmine hydrochloride,24,86918,0.706615149974823,0.5035998225212097,0.2228105704572937,0.706615149974823,0.5762787915046366
S1 B anchor Morgan Huber,val_strain_only,Hoechst 33258,23,83761,0.826819896697998,0.6017903685569763,0.24031483984390326,0.826819896697998,0.575828846360478
S1 B anchor Morgan Huber,val_strain_only,LY 294002 hydrochloride,24,88180,0.6860805749893188,0.47528520226478577,0.30177313957715807,0.6860805749893188,0.6071444772057156
S1 B anchor Morgan Huber,val_strain_only,NaCl,72,254240,0.8207180500030518,0.5615844130516052,0.14820589378435822,0.8207180500030518,0.5609738829452486
S1 B anchor Morgan Huber,val_strain_only,Nigericin,24,89166,0.7174907326698303,0.5073790550231934,0.28522703011791073,0.7174907326698303,0.5956866967229661
S1 B anchor Morgan Huber,val_strain_only,Nocodazole,24,84550,0.6733599305152893,0.46878939867019653,0.29093360411497937,0.6733599305152893,0.6003193376700178
S1 B anchor Morgan Huber,val_strain_only,Nystatin dihydrate,24,87755,0.706743597984314,0.4957614541053772,0.32654454205641387,0.706743597984314,0.6099823371887642
S1 B anchor Morgan Huber,val_strain_only,Oligomycin,24,78659,0.721168577671051,0.5067967176437378,0.2735187135940336,0.721168577671051,0.599524529933002
S1 B anchor Morgan Huber,val_strain_only,Parthenolide,24,88568,0.6662446856498718,0.4615340530872345,0.33833387255319347,0.6662446856498718,0.6256322825399693
S1 B anchor Morgan Huber,val_strain_only,Rapamycin,72,259073,0.7985267639160156,0.5616141557693481,0.17544381703214154,0.7985267639160156,0.5556619176834329
S1 B anchor Morgan Huber,val_strain_only,SDS,72,255928,0.7755767703056335,0.5407422780990601,0.2054395409534163,0.7755767703056335,0.5677260792097778
S1 B anchor Morgan Huber,val_strain_only,Sorbitol,72,253614,0.8024434447288513,0.5525535345077515,0.19430922500271464,0.8024434447288513,0.5738208458523583
S1 B anchor Morgan Huber,val_strain_only,Staurosporine,24,91760,0.6571646928787231,0.4584287405014038,0.3342674688244877,0.6571646928787231,0.6154533565823889
S1 B anchor Morgan Huber,val_strain_only,Trichostatin A,24,87658,0.700096845626831,0.4993606507778168,0.2587022236430008,0.700096845626831,0.581213351890301
S1 B anchor Morgan Huber,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.6595085263252258,0.461606502532959,0.3464319751737403,0.6595085263252258,0.6205458515283843
S1 B anchor Morgan Huber,val_strain_only,Tunicamycin,24,87789,0.6789869666099548,0.47499656677246094,0.26747151633986355,0.6789869666099548,0.5938557222431057
S1 B anchor Morgan Huber,val_strain_only,U-73122,24,91663,0.6633011698722839,0.4664539396762848,0.30856392451363246,0.6633011698722839,0.6042678070759194
S1 B anchor Morgan Huber,val_strain_only,Valinomycin,24,87445,0.670648992061615,0.4686000347137451,0.25743764124330576,0.670648992061615,0.5881982960718166
S1 B anchor Morgan Huber,val_strain_only,Wortmannin,24,90466,0.7233816981315613,0.5121493935585022,0.2798880541180306,0.7233816981315613,0.5882209891008777
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",24,87632,0.6682506799697876,0.4603796899318695,0.2631918010074562,0.6682506799697876,0.5959809202117948
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,1-10 Phenanthroline monohydrate,48,174947,0.6714518666267395,0.46404483914375305,0.26186079883779495,0.6714518666267395,0.5926766392107324
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,4-Hydroxytamoxifen,24,87104,0.6830433011054993,0.47345656156539917,0.31657824693679004,0.6830433011054993,0.6116022226304189
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Amiodarone hydrochloride,23,73670,0.7556419968605042,0.5324460864067078,0.2588655777323889,0.7556419968605042,0.5846206054024705
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Anisomycin,48,183200,0.6624906659126282,0.45771336555480957,0.32054140908620854,0.6624906659126282,0.6146015283842795
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Artemisinin,24,87987,0.6836491823196411,0.47358766198158264,0.19487161687693874,0.6836491823196411,0.5661404525668565
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Brefeldin A,48,179607,0.6698042154312134,0.4632163941860199,0.2855204361380303,0.6698042154312134,0.6021090492018685
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,CHX,51,179518,0.7400912642478943,0.5170740485191345,0.2820838558300366,0.7400912642478943,0.5982074220969485
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Cisplatin,72,256795,0.7503287196159363,0.5266538262367249,0.2385896088520766,0.7503287196159363,0.5813664596273292
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Clomiphene citrate,24,87849,0.6630606055259705,0.45856037735939026,0.27889248318187937,0.6630606055259705,0.5951462168038338
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Clotrimazole,24,91638,0.6592847108840942,0.45364972949028015,0.3418520976862076,0.6592847108840942,0.6182260634234706
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Cyclopiazonic acid,24,73547,0.7615618705749512,0.5379275679588318,0.2993128317021839,0.7615618705749512,0.6094606170204088
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Desipramine hydrochloride,23,87358,0.6578729152679443,0.45313698053359985,0.35346558163353914,0.6578729152679443,0.6276013645001031
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Dyclonine hydrochloride,13,49963,0.6435343027114868,0.4386410713195801,0.3200637021576194,0.6435343027114868,0.6171366811440466
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,EDTA,144,518606,0.7495337724685669,0.5255129337310791,0.2571977826993605,0.7495337724685669,0.5844552511926202
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Emodin,24,86728,0.6669713854789734,0.4609542191028595,0.30116386002096496,0.6669713854789734,0.610460289641177
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Geldanamycin,24,87891,0.6711758971214294,0.46285346150398254,0.26754276132014065,0.6711758971214294,0.5952145270846845
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Haloperidol,24,91401,0.6591059565544128,0.45445960760116577,0.33399127096074743,0.6591059565544128,0.6215905734072932
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Harmine hydrochloride,24,86918,0.7083728313446045,0.4986688792705536,0.2251020062340527,0.7083728313446045,0.5810188913688764
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Hoechst 33258,23,83761,0.819290816783905,0.5943203568458557,0.24216384314798237,0.819290816783905,0.58044913503898
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,LY 294002 hydrochloride,24,88180,0.6805326342582703,0.4661136269569397,0.30296808017411275,0.6805326342582703,0.6115559083692447
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,NaCl,72,254240,0.798992395401001,0.547020435333252,0.18304241624272255,0.798992395401001,0.5720696979232222
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Nigericin,24,89166,0.6920891404151917,0.4856441020965576,0.3180886495213736,0.6920891404151917,0.6120830809949981
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Nocodazole,24,84550,0.6760693788528442,0.46559473872184753,0.28730241790180727,0.6760693788528442,0.6000354819633353
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Nystatin dihydrate,24,87755,0.6731666326522827,0.46890148520469666,0.3746190012565054,0.6731666326522827,0.6338214346760869
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Oligomycin,24,78659,0.7148744463920593,0.4981769621372223,0.27487779506450005,0.7148744463920593,0.6033766002618899
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Parthenolide,24,88568,0.6569339632987976,0.4511943757534027,0.34717555100550496,0.6569339632987976,0.6306227983018697
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Rapamycin,72,259073,0.7842124700546265,0.5525286197662354,0.1899413401279812,0.7842124700546265,0.5614672312437035
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,SDS,72,255928,0.7640052437782288,0.534123957157135,0.21781118662353388,0.7640052437782288,0.5695898846550592
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Sorbitol,72,253614,0.7791789174079895,0.5367431044578552,0.2299592826301396,0.7791789174079895,0.5858903688282192
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Staurosporine,24,91760,0.6591993570327759,0.45371758937835693,0.33143283666787393,0.6591993570327759,0.6191150828247602
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Trichostatin A,24,87658,0.6998899579048157,0.4936724901199341,0.2636431431321737,0.6998899579048157,0.587647448036688
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Trifluoperazine dihydrochloride,24,91600,0.662285327911377,0.4568128287792206,0.34183764520335264,0.662285327911377,0.624061135371179
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Tunicamycin,24,87789,0.676684558391571,0.4685901701450348,0.2732322906170549,0.676684558391571,0.5987766121040221
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,U-73122,24,91663,0.666696310043335,0.46255189180374146,0.3024700239144919,0.666696310043335,0.6070170079530454
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Valinomycin,24,87445,0.6761162877082825,0.46728184819221497,0.25180546290609657,0.6761162877082825,0.5888844416490365
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,Wortmannin,24,90466,0.6935805082321167,0.48834899067878723,0.3271761957916607,0.6935805082321167,0.6111467291579157
V2 batch-enabled Huber,val_both,Amphotericin B,71,253697,0.8507066965103149,0.6130662560462952,0.2353859464880494,0.8507066965103149,0.5679531094179276
V2 batch-enabled Huber,val_both,FCCP,72,255059,0.8618218898773193,0.6231123805046082,0.21946315145548617,0.8618218898773193,0.5624620185917768
V2 batch-enabled Huber,val_both,Hydroxyurea,72,257801,0.8749329447746277,0.6304417252540588,0.18945546357150791,0.8749329447746277,0.5638690307640389
V2 batch-enabled Huber,val_both,Pentamidine isethionate,24,84151,0.6954771280288696,0.4837357997894287,0.2987023855087468,0.6954771280288696,0.6053166331950898
V2 batch-enabled Huber,val_both,Raloxifene hydrochloride,6,21911,0.7234705090522766,0.5122882723808289,0.30096577088161447,0.7234705090522766,0.6172698644516453
V2 batch-enabled Huber,val_both,Sulfometuron methyl,24,87815,0.6870712041854858,0.47914525866508484,0.27279965320027627,0.6870712041854858,0.5919831463872914
S1 B anchor Morgan Huber,val_both,Amphotericin B,71,253697,0.895412266254425,0.639701247215271,0.22246575596575338,0.895412266254425,0.5669479733698073
S1 B anchor Morgan Huber,val_both,FCCP,72,255059,0.7733239531517029,0.5411593317985535,0.21628847908427556,0.7733239531517029,0.5714913020124756
S1 B anchor Morgan Huber,val_both,Hydroxyurea,72,257801,0.7896780371665955,0.5534873008728027,0.1940254442983034,0.7896780371665955,0.5670420207834725
S1 B anchor Morgan Huber,val_both,Pentamidine isethionate,24,84151,0.7377762198448181,0.5197701454162598,0.2674980111288663,0.7377762198448181,0.5898919798932871
S1 B anchor Morgan Huber,val_both,Raloxifene hydrochloride,6,21911,0.7150880098342896,0.5097759366035461,0.3053901434450277,0.7150880098342896,0.6119300807813427
S1 B anchor Morgan Huber,val_both,Sulfometuron methyl,24,87815,0.6639834642410278,0.46332088112831116,0.2777563185483332,0.6639834642410278,0.5956043956043956
S1 C anchor Morgan Huber plus experimental FC,val_both,Amphotericin B,71,253697,0.8685934543609619,0.6194396018981934,0.23722369695134687,0.8685934543609619,0.5726595111491267
S1 C anchor Morgan Huber plus experimental FC,val_both,FCCP,72,255059,0.8431302309036255,0.5983999371528625,0.21250657570634957,0.8431302309036255,0.5657396916007669
S1 C anchor Morgan Huber plus experimental FC,val_both,Hydroxyurea,72,257801,0.789741575717926,0.5547919273376465,0.21033526737399996,0.789741575717926,0.5760334521588357
S1 C anchor Morgan Huber plus experimental FC,val_both,Pentamidine isethionate,24,84151,0.6810505986213684,0.46781882643699646,0.2916726870786339,0.6810505986213684,0.607669546410619
S1 C anchor Morgan Huber plus experimental FC,val_both,Raloxifene hydrochloride,6,21911,0.7271060943603516,0.5151625871658325,0.2888705646887322,0.7271060943603516,0.6137556478481129
